"text","emotion","polarity"
" yessss t co llnyzf i x ","unknown","positive"
" thanks ","unknown","positive"
" we re back in premier league action today n nchelsea v crystal palace uk u bd ufe f t co hpswk wke ","unknown","positive"
" ud d ude cfour wins on the spin t co ldc ufcib ","unknown","negative"
" sell costa to the chinese ","unknown","positive"
" u e u e u e u e a u e a u e u e u e e u e u e u e u e u e u e u e u e c u e u e u e u e u e u e u e d u e u e u e u e u e u e u e n n u e u e a u e u e b u e u e e u e a u e u e u e u e a u e u e u e u e e u e u e u e u e b u e u bd ufe f cfcthai t co qgkzd nmox ","unknown","positive"
" u u u a u u f u a u u u u u u a u a u u c u u u u u u u u u u f u u a u u ud d ude n cfc n checry ","unknown","positive"
" checry on a good game thus far three goals in a space of chelsea scores first and crystal palace scores two goals in seconds ","joy","neutral"
" vai toma no seu cu ","unknown","positive"
" hijos de puta","unknown","positive"
" ud d udc ud d udc ud d udc t co ksa tzotjm ","unknown","positive"
" smh ","unknown","positive"
" just over mins until kick off","joy","neutral"
" ud d udc f ud c udffb ud d udc f ud c udffb ud d udc f ud c udffb ","unknown","positive"
" so that just happened checry ","unknown","positive"
" gooool do o l u edder come u e a com tudo no stamford bridge siga x em tempo real u ","unknown","positive"
" iiiiiihhh yaampun yaampun tinggal satu sentuhan lagi namun gagal menjadi gol prahara bagi chelsea checry ","unknown","positive"
" what is happening goals in mins and it s chelsea who are the ones who are losing checry ","unknown","negative"
" fuck off t co wlywx nfat ","unknown","positive"
" everything you know about checry is wrong ","unknown","neutral"
" ud d ude lift off at the bridge n checry t co temeguf pe ","joy","positive"
" nice aprils day prank show the real match now ","unknown","positive"
" hopefully this form continues t co hihaxs b ","unknown","neutral"
" for zaha ud c udde ud c uddee nlike for moses ud c uddf ud c uddec n n checry t co ce icstuc ","unknown","positive"
" lol ffs ","unknown","positive"
" goal chelsea crystal palace mins wilfried zaha holds off the chelsea defence before firing home from the edge o u ","unknown","positive"
" azpilicueta lt lt checry ","unknown","positive"
" yeahhh sakhoo t co kmtsp pwv ","unknown","positive"
" u f u u a u u u u b u u u a u n u u u u u u u a u u u a u u u f u u u a u u u u u c u u a u u a u u u u u u u f u u a u u u a u u n u u u u u u u u u u u ud d udc f ud d udc f n checry ","unknown","positive"
" incredible mama what an interception with costa lurking checry ","unknown","neutral"
" robbed ","unknown","positive"
" pl ud c uddec ud c udde chelsea crystal palace n nchelsea n avait plus perdu depuis mois zaha et benteke buteurs n n checry t u ","unknown","positive"
" chelsea kick off at stamford bridge palace fans to the side of wayne hennessey s goal for this first half checry ","joy","negative"
" how about no ","unknown","positive"
" get in ","sadness","negative"
" it s there anything left for us to do n checry ","unknown","negative"
" have we seen the last season of ex player of the season epl transfealk ","unknown","negative"
" sorpresa crystalpalace","unknown","positive"
" costaout simple now ","unknown","positive"
" full time chelsea palace wilfried zaha amp christian benteke give a fouh consecutive win and check chels u ","unknown","positive"
" probably minutes to go hang on","fear","positive"
" thank you lads ud d ude t co fdqxxw nth ","unknown","positive"
" y e s coys t co z hpighs ","unknown","positive"
" checry top discussions in kenya visit t co xcigztppww for more videos videos t co zsf slfxj ","surprise","positive"
" mamadou sakho down being treated for cramp palace fans belting his name out checry ","unknown","negative"
" ft scores n n burnleyfc thfc n cfc cpfc n hullcity whufc n lcfc scfc n mufc wba u ","unknown","positive"
" the painment in this ud d ude ud d ude t co toaybpgtns ","unknown","positive"
" cheers lads ud d udcaa ud c udffe ud d ude t co mlxpoopyi ","unknown","positive"
" goal chepal t co fsuypfsyf ","unknown","positive"
" what a good performance of wasting chances ud d udc f ud c udffd ","joy","positive"
" jeff t co pnlzobzg a ","unknown","positive"
" fc t co uznwrl rw ","unknown","positive"
" the equaliser is coming sumptuous stuff ","unknown","neutral"
" ","unknown","positive"
" where s your resignation letter antonio ","unknown","negative"
" not happening today for us if we lose to city then the title race is wide open again ","unknown","neutral"
" no wayyy benteke and zaha combine again and the striker chips couois checry t co zpl yxn ","unknown","positive"
" we still have games to play including man city ","unknown","positive"
" what a win ","unknown","positive"
" three points ","unknown","positive"
" no wayyy benteke and zaha combine again and the striker chips couois checry t co zpl yxn ","unknown","positive"
" ud d ude cfour wins on the spin t co ldc ufcib ","unknown","negative"
" guys","unknown","positive"
" chelsea vs crystal palace n nlive on stream n n t co s xlmdh fj n t co s xlmdh fj n n checry planetstreams htt u ","unknown","positive"
" ud d ude t co ng i wjowo ","unknown","positive"
" forza u bd ufe f ","unknown","positive"
" sell that f cking morron diego costa ","unknown","positive"
" the blues are out warming up at stamford bridge ud d udcaa t co tw grfuegs ","unknown","positive"
" u e u e u e u e u e u e u e u e u e u e u e u e u e u e u e checry ","unknown","positive"
" ud d ude t co di u vlzof ","unknown","positive"
" fabregaaaaaas checry ","unknown","positive"
" chegamos a ud d ude ud d ude ud d ude ud d ude ud d ude ud d ude checry ","unknown","positive"
" pedro carrilero derecho y f u e bregas acompa u f ando a hazard y costa arriba t co vlfzspxl x ","unknown","negative"
" well so the shitty players out give us an actual nd striker or even st ","unknown","positive"
" antonio conte s agent suggest he s not guaranteed to stay at n n new oppounities may arise","anger","positive"
" what a goal by benteke ud d ude checry ","unknown","positive"
" just over mins until kick off","joy","neutral"
" come on chelsea need two more goals checry ","unknown","negative"
" haha mins","unknown","positive"
" ok","unknown","positive"
" rola a bola no stamford bridge siga x em tempo real n t co ayflmdqmqt t co nmokrnsl v ","unknown","positive"
" s u ec ma non si pu u f cos u ec t co dgzjcf alf ","surprise","positive"
" whaaaaat t co lanjmml vl ","unknown","positive"
" no wayyy benteke and zaha combine again and the striker chips couois checry t co zpl yxn ","unknown","positive"
" come on chealsea checry ","unknown","positive"
" whoop whooopa t co wiffcmb g ","unknown","positive"
" u bd ufe f ud c udfc ud d udcfa u a ufe f chelsea have won of their last epl games against the cpfc n n cfcvcpfc cfc premierleague ","unknown","negative"
" don t get why most people hates you guys","sadness","negative"
" christian benteke crystal palace wins a free kick in the attacking half t co ek f xq checry ","joy","negative"
" full time chelsea lose at home for the first time in matches huge win for cpfc and sam allardyce u ","unknown","negative"
" bring michy on ","unknown","positive"
" unbelievable checry t co dpqgihm qk ","unknown","negative"
" how crap are palarse checry ","unknown","positive"
" lineups are announced and players are warming up t co ek f xq checry ","unknown","positive"
" t co qtzlmnn t ","unknown","positive"
" unbelievable checry t co dpqgihm qk ","unknown","negative"
" big sam in dreamland at stamford bridge ud d ude checry t co j sjyxiwm ","unknown","positive"
" hardluck chelseafc ","unknown","positive"
" mamadou sakho would be a quality addition to join us i always been your fan cfcfamily ","unknown","positive"
" three points t co jdvixrgtqt ","unknown","positive"
" crystalhotspur t co eejdoz b ","unknown","positive"
" t co edotm plr ","unknown","positive"
" what a goal wilfried zahaaaaa checry t co p dqczwr ","unknown","positive"
" looking for a logo businesscard designer photoediting photoshop expe for your work th u t co nfcf vpus ","unknown","positive"
" u bd ufe f ud d udc enquanto isso vov u f tranquilona em x passando na sua timeline t co ayflmdqmqt u ","unknown","positive"
" wtf t co msmns wfi ","unknown","positive"
" ft chelsea crystal palace blues lead at the top cut to seven points t co l zoqnp h cfc cpfc t u ","surprise","neutral"
" laahhh kalah siap dibully ud d ude d ud d ude d ud d ude d t co nukzmygmql ","unknown","positive"
" unbelievable checry t co dpqgihm qk ","unknown","negative"
" full time chelsea palace wilfried zaha amp christian benteke give a fouh consecutive win and check chels u ","unknown","positive"
" let s smash the palace and take over ","unknown","negative"
" it s going to be a long seven minutes for palace fans ud d ude t co jsg eghpny ","unknown","negative"
" goallll crystal palace ahead as christian benteke scoops the ball over the over couois huge shock is on checr u ","unknown","negative"
" incredible mama what an interception with costa lurking checry ","unknown","neutral"
" hocemo kalcopoli u engleskom fudbalu checry ","unknown","positive"
" thanks cpfc lots of love thfc fans coys ","joy","positive"
" cmon blues let s get even at least cfcvcpfc ","sadness","negative"
" full time chelsea palace wilfried zaha amp christian benteke give a fouh consecutive win and check chels u ","unknown","positive"
" hennessy is doing a fine job too t co uyyiyz l ","unknown","neutral"
" even when we lose we win chelsea will bounce back we re still winning the league one odd game won t change that cfc u ","unknown","negative"
" april fool s day for chelseafc ","unknown","negative"
" unbelievable checry t co dpqgihm qk ","unknown","negative"
" so that s nobody winning the u a million jackpot on super nobody should have had place scoring at chelsea checry ","unknown","positive"
" yesss ","unknown","positive"
" palace ud d udd ud d udd amazing lads what a performance cpfc ","surprise","positive"
" ffs t co ty kvq k ","unknown","positive"
" yes congratulation to cpfc ","unknown","positive"
" a shock result at stamford bridge n n cpfc have ended cfc s run of ten home wins n nw nw nw nw nw nw nw nw nw nw nl n n checry ud d udcfb u ","unknown","negative"
" seriusan t co me v m tdx ","unknown","positive"
" goal chepal t co fsuypfsyf ","unknown","positive"
" doing god s work t co jott cl cb ","sadness","positive"
" christian benteke knows how to get the pay staed cpfc t co teiorgwuim ","sadness","negative"
" yessssss what a win nabsolutely buzzing ud d ude ud d udd ud d udd cpfc ","unknown","positive"
" ex player celestine babayaro is here checry t co qkyljdsenj ","unknown","positive"
" goal chepal t co fsuypfsyf ","unknown","positive"
" big sam in dreamland at stamford bridge ud d ude checry t co j sjyxiwm ","unknown","positive"
" really can he cope with the rate of play ","unknown","positive"
" why so much anger just a defeat ","anger","negative"
" the benteke goal ud d udd ud d udd checry cpfc t co rgeiqllvc ","unknown","positive"
" chelsea crystal palace mins wilfried zaha sets up christian benteke to put palace ahead checry ","unknown","positive"
" palace win the first corner of the game checry ","unknown","neutral"
" goal chelsea crystal palace mins cesc fabregas finishes off a fine piece of eden hazard wing play with a close r u ","joy","negative"
" horrible ","fear","negative"
" costa to china ","unknown","positive"
" too easy lads t co najpg ymz ","unknown","positive"
" i need fabrigas ","unknown","negative"
" into the th minute of extra time wtf ","unknown","positive"
" are back underway n ncome on blues ud d udd ud d udd n n cfc chepal ","unknown","positive"
" chelsea lose at crystal palace after mins of play cfc cpfc ","unknown","negative"
" full time chelsea lose at home for the first time in matches huge win for cpfc and sam allardyce u ","unknown","negative"
" someone explain injury time to me again checry ","unknown","negative"
" how much did you lot pay the ref you blue wankers t co aedmglj rv ","sadness","negative"
" gooooooooooool fabregas chelsea palace checry ","unknown","positive"
" chelseafc we re back underway","unknown","positive"
" wins in a row cpfc ","unknown","positive"
" takpelah janji game lepas ni kita menang balik ud d ude ","unknown","negative"
" its a fucking disgrace t co wbnphq o ","unknown","negative"
" that was fast regulate ","unknown","positive"
" tough loss for my guys","unknown","negative"
" pathetic sell costa ","sadness","negative"
" mamadou sakho what a player i hope to god klopp and him can put their differences aside t co pmnm wgdpe ","sadness","positive"
" chelsea crystal palace mins wilfried zaha sets up christian benteke to put palace ahead checry ","unknown","positive"
" tr u e s sale u e a t co hsjbr pbav ","unknown","positive"
" nidliwe bodoti ud d ude t co aylvzwvwgg ","unknown","positive"
" u ufe f ud d udc cpfc ","unknown","positive"
" c une blague ou quoi la t co bd vzci oc ","unknown","positive"
" ft nchelsea crystal palace n checry cfc ktbffh ","unknown","positive"
" n t co yxv axlodw ","unknown","positive"
" oh t co ay g wpju ","unknown","positive"
" chelseafc fabregas has now dropped into midfield alongside kante with willian playing on the right of the front three chepal ","unknown","positive"
" are cpfc about to break cfc s home winning streak n nwwwwwwwwww n nthey lead at stamford bridge n n checry ud d udcfb u ","unknown","neutral"
" chelsea sub loftus cheek on for fabregas checry ","unknown","positive"
" could reach minutes here my hea my explode soon cpfc ","unknown","negative"
" u u u u a u u u u u u u u u u a u u a u u u a u d u u u a u u a u u u u u u u n checry cfc ","unknown","positive"
" u substitution chelsea nchelsea crystal palace n checry t co fkylr a ","unknown","positive"
" omg how long will they let play wtf coys ","unknown","neutral"
" not only he looks like xxxtentacion","joy","positive"
" they have come a long way it s not a dab","unknown","negative"
" note this ain t real why do people still do this t co risxalqkyu ","unknown","positive"
" spurs menang jadi poin selisihnya nih ama chelsea gapapa blues tetep konsisten kedepannya ini cobaan thanks ud c udf b ud d udc f ","unknown","positive"
" heroic performance today eagles celebrate by showing your colours u t co vt i vnd ","unknown","positive"
" full time chelsea crystal palace chepal t co zbxbjehxdc ","unknown","positive"
" ud d ude ud d ude ud d ude ud d ude d u ufe f ud d udc t co qutwpjq b ","unknown","positive"
" its not over yet bitch ","unknown","negative"
" wooooooaaaaaaahhhhhhhhoooooooaaaahhhhhhhhhhhhh we love you we love you wooooooooaaaaaahhhhhhhoooaaaahhhhh t co veivprffp ","joy","positive"
" my nerves are in turmoil i feel exhausted","unknown","negative"
" minutes de jeu et d u e j u e buts","unknown","positive"
" t co lxnp eizy ","unknown","positive"
" some players need to take a long hard look at themselves","unknown","negative"
" goal chelsea crystal palace mins wilfried zaha holds off the chelsea defence before firing home from the edge o u ","unknown","positive"
" the scum are beat ","surprise","neutral"
" match thread chelsea vs crystal palace premier league t co gmmyq qag chelseafc cfc t co sawn q n ","unknown","positive"
" just over mins until kick off","joy","neutral"
" brilliant performance by the entire team and in paicular ud d udd ud d udd cpfc ","unknown","positive"
" ola chelsea verliest thuis met van palace met oa city en united de komende weken kan het toch nog hmm checry ","unknown","positive"
" fuck off ud d ude what s going on ","unknown","positive"
" it s too easy great to have you back","joy","positive"
" errroooooooooooooww t co ubuoc ei ","unknown","positive"
" blow the fucking whistle cpfc ","unknown","negative"
" win loose or tie till i die chepal ","unknown","positive"
" stamford bridge is stunned today by crystal palace no wonder is the best league in the world by far checry ","surprise","positive"
" zaha e benteke ud d udc f ud c udffe que jogo checry ","unknown","positive"
" premier league live benteke puts palace ahead at chelsea","joy","positive"
" hard luck lads ","unknown","neutral"
" free kick now as cesc fabregas is brought down the ball ends in the hands of wayne hennessey though chepal ","joy","neutral"
" funny how bbcspo had palace stun chelsea on their website at half time checry ","anger","neutral"
" it s fool s day remember t co xbl nwyyys ","unknown","negative"
" point gap ud d ude ud d ude ","unknown","negative"
" can t win them all the bump had to come sodo near or later chepal onto the next ","joy","negative"
" estragando meu s u e bado logo cedo","unknown","positive"
" asdfghjkl cpfc ","unknown","positive"
" that game was ridiculous i don t understand this team but i love them checry cpfc coyp ","joy","neutral"
" four stas","unknown","positive"
" percume percume muke lu kurang limit t co f jecos ","unknown","negative"
" retweeted chelsea fc n nmoments earlier hazard delivered a brilliant ball across the face of goal but t co bhavmghhpg ","unknown","neutral"
" omg palace up cpfc ","unknown","positive"
" goal chelsea crystal palace cesc fabregas","unknown","positive"
" yessss palace i fucking love you ","joy","positive"
" ud d ude e t co wvqzdxoei ","unknown","positive"
" son now dont fuck up ","unknown","positive"
" chelsea crystal palace mins wilfried zaha sets up christian benteke to put palace ahead checry ","unknown","positive"
" today s game seems to be a total loss checry ","unknown","negative"
" unbelievable checry t co dpqgihm qk ","unknown","negative"
" flashbackfriday to this strike from frank lampard v crystal palace back in ud d ude t co uhg w y d ","joy","neutral"
" stole the words right out my mouf","unknown","neutral"
" ref was great for palace today","joy","positive"
" goal cfc cpfc n nincredible crystal palace have turned it around benteke with the goal t co a wtoinmcw ","unknown","positive"
" t co swbtoxpki ","unknown","positive"
" mamadou sakho down being treated for cramp palace fans belting his name out checry ","unknown","negative"
" fabregas goal checry t co zfzuv py t ","unknown","positive"
" ud d ude cfour wins on the spin t co ldc ufcib ","unknown","negative"
" ayo gol t co podfwqmnw ","unknown","positive"
" costa has again been terrible today not hitting those free headers","fear","negative"
" we still have games to play including man city ","unknown","positive"
" sign van djik","unknown","positive"
" checry ","unknown","positive"
" uc c uc dc ubc uc ud ub c uc uc b uc c uc dc ud c ub ac uc a ud c ud ub ac uc a uac c uc c ub c ub e t co aukaqdpxfb ","unknown","positive"
" incredible mama what an interception with costa lurking checry ","unknown","neutral"
" fuck off ","unknown","positive"
" doelpunt benteke crystalpalace checry ","unknown","positive"
" it s been like mins added on ","joy","positive"
" the dann injury costa clearly concerned immediately checry cpfc t co xxofkcwuyh ","unknown","negative"
" ud e udd ud e udd u d u ufe f ud e udd ","unknown","positive"
" ft cfc cpfc chelsea s lead at the top cut to pts by thfc cpfc deserve win intelligent","surprise","positive"
" goal chepal t co ro qvt v ","unknown","positive"
" chelsea throwing everything at palace","unknown","positive"
" full time chelsea lose at home for the first time in matches huge win for cpfc and sam allardyce u ","unknown","negative"
" nice wei nice ","sadness","positive"
" usual banter in the spa pool today i m told easy points for us today by a fan it s no april fool u t co ryvhdgobov ","joy","negative"
" tutto ribaltato in pochi minuti checry ","unknown","positive"
" he s a liverpool suppoer do we need to take him seriously ud d ude ","unknown","negative"
" u bd ufe f les r u e sultats de la j de pl ud c uddec ud c udde n buot n checry n hulwhu n leistk n munwba u t co veijyjvqex ","unknown","positive"
" u c a fait plaisir de voir mamad sakho revenir en forme ud d ude checry psgfamily ","unknown","positive"
" cesc equalises n n chepal n n t co ngaj ffa ","unknown","positive"
" april fools t co o jdldykmw ","unknown","positive"
" hahahahahahahahahahahaha ","unknown","positive"
" just in case you can t deal with the minutes of stoppage time in checry cpfc t co f exh sk a ","unknown","positive"
" goal chelsea crystal palace mins wilfried zaha holds off the chelsea defence before firing home from the edge o u ","unknown","positive"
" u u u u u u u u u f u u a u u u a u f u u a u u u u u u a u u a u u u u u u u checry ","unknown","positive"
" gobelog hf nyeuneut flare di bridge checry ","unknown","positive"
" rent boys lost ud d ude checry ","unknown","negative"
" half time chelsea crystal palace chepal t co seyvuhjtfe ","unknown","positive"
" ft chelsea crystal palace cpfc deals cfc first pl loss since january on christian benteke s winner u t co uvqf ppzqw ","unknown","neutral"
" come on palace ud d udd ud d udd cpfc amazing ","surprise","positive"
" same formation as earlier ","unknown","positive"
" breaking my mood for next week by losing at home is not a banter lads ","joy","negative"
" there s been a goal at stamford bridge ud d ude checry t co v xon zzbz ","unknown","positive"
" big ben chimes again cpfc ","unknown","positive"
" half time chelsea crystal palace chepal t co seyvuhjtfe ","unknown","positive"
" get in boys t co nfgqkyzum ","sadness","negative"
" if palace hold on we ve lost the least games in the league just those damn draws bloody disappointing n n munwba checry mufc ","unknown","negative"
" not quite sure what to say after a game like that really frustrating let s just leave it at that cfc checry ","anger","neutral"
" vamos ","unknown","positive"
" if palace can hold on","unknown","positive"
" mins cfc cpfc n mins cfc cpfc n t co svlhcejooh t co adl t n ","unknown","positive"
" pueden escuchar el duelo vrs crystal palace en t co ttlg kd e narraci u f n de t co bcy u ","unknown","positive"
" goal fabregas nassist hazard n nchelsea palace mins fpl checry ","unknown","negative"
" stop all these nonsense nthere s no hope t co e tytljey ","unknown","neutral"
" ud d ude ud d ude ud d ude ud d ude t co vff wskjt ","unknown","positive"
" siot tahu beli benteke t co ofqa shkrn ","unknown","positive"
" and lose city and united title is over ","unknown","negative"
" you had one job ","unknown","negative"
" baaaaaannnnnnggggg n n championship double lands n n premierleague on the other hand but dont give a fuck u c n n t co ayybp hdpm ","unknown","positive"
" better not be an april fool s joke ","unknown","neutral"
" pathetic t co nl zo v ","sadness","negative"
" cahill recibe la tarjeta amarilla por falta a zaha checry pl ","unknown","positive"
" full time chelsea palace wilfried zaha amp christian benteke give a fouh consecutive win and check chels u ","unknown","positive"
" wow","unknown","positive"
" man u dropped points ud d ude c ud d ude ","unknown","positive"
" they did it they did it way to go","unknown","negative"
" premierleague full time scores n n burnley thfc n cfc cpfc n hullcity whufc n lcfc scfc n mufc wba n watfordfc safc ","unknown","positive"
" first week all season that hazard s playing and i haven t had him t co rdtlxpxwl ","unknown","neutral"
" edey do april fool t co gpzp t om ","unknown","negative"
" buts chattards de fou","disgust","positive"
" benteke ud d udc d ud c udffc ud d udcaa ud c udffc t co hmktu chh ","unknown","positive"
" its c oming ","unknown","positive"
" vediamo il ","unknown","positive"
" come on keep on believing top top team ","surprise","positive"
" come on ","unknown","positive"
" c mon ud d udc ","unknown","positive"
" this cpfc win will do nothing to stop the increasingly loud big sam to arsenal rumors ","unknown","neutral"
" get innnnnnnnnnnn ","sadness","negative"
" wilfried zaha amp christian benteke both scored against russia last week they have both scored against chelsea today form checry ","unknown","negative"
" beats ncan we see a turnaround in ","unknown","positive"
" aaaaaaaand breathe cpfc ","unknown","positive"
" the only team to let the acca down ud e udd ","unknown","positive"
" after that derby","unknown","positive"
" aka let s play till chelsea score ","anger","positive"
" i ve had two bihdays in this stoppage time cpfc ","unknown","positive"
" tekel telat pada zaha kau kuning cahill checry ","unknown","positive"
" chelsea v crystal palace n nlive stream t co rpwpotm ka n ns k g cfc checry matchday cpfc premierleague chelse u ","unknown","positive"
" u kenyacup n u ripjanetkaniniikua n u a checry n u b liveve n u c youngmoney n n eat trndnl t co f z fdv u ","unknown","positive"
" checry what a ball from will i am ","unknown","positive"
" all you need to know ahead of today s game at the bridge ud d udc t co xxc t gu ","unknown","negative"
" i am zen calm blue ocean football is only a game time is meaningless palace are going to be ok i am zen cpfc sevenm u ","sadness","negative"
" we still have games to play including man city ","unknown","positive"
" noticia en la premier ncae el l u edder en casa t co pafeniqwca ","unknown","positive"
" no wayyy benteke and zaha combine again and the striker chips couois checry t co zpl yxn ","unknown","positive"
" ud d ude ","unknown","positive"
" diy bugger ","unknown","positive"
" supplementari a stamford bridge checry ","unknown","positive"
" get in palace ud d ude ud d ude ud d ude ud d ude ud d ude ud d ude ud d ude ud d ude ud d ude ud d ude ud d ude ud d ude ud d ude ud d ude ud d ude ud d ude ud d ude ud d ude ud d ude ud d ude ud d ude ud d ude ud d ude ud d ude ud d ude ud d ude ud d ude ud d ude ud d ude ud d ude ud d ude ud d ude ud d ude ud d ude ud d ude ud d ude ud d ude ud d ude ud d ude ud d ude ud d ude ud d ude ud d ude ud d ude ud d ude ud d ude ud d ude ud d ude ud d ude ud d ude ud d ude ud d ude ud d ude ud d ude ud d ude ud d ude ud d ude ud d ude ud d ude ud d ude ud d ude ud d ude ud d ude ud d ude ud d ude ud d ude ud d ude ud d ude ud d ude ud d ude ud d ude ud d ude ud d ude ud d ude ud d ude ud d ude t co tecdtjdhn ","sadness","negative"
" u bd ufe f u bd ufe f football ","unknown","positive"
" yyyyyyyyeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeessssssssssssssssssssssssssssssss coyp ","unknown","positive"
" let s go cfc ","unknown","positive"
" no wayyy benteke and zaha combine again and the striker chips couois checry t co zpl yxn ","unknown","positive"
" avec un u e norme zaha buteur et passeur d u e cisif","unknown","positive"
" christmas eve came early t co czfmgyv qp ","unknown","positive"
" ud d udc t co pa wumkltr ","unknown","positive"
" big up cpfc today","unknown","positive"
" in action at the bridge as we enter into the final minutes it remains to palace n ncome on che u ","unknown","positive"
" rubbish and spurs win unforgiveable ","unknown","negative"
" full time chelsea crystal palace chepal t co zbxbjehxdc ","unknown","positive"
" u ba u bc u baa u bae u bcd u b u ba u bc u ba u bcd u ba u ba u bc ud d ude ud d ude d ud d ude d t co zkknbnvwg ","unknown","positive"
" yas n fab n checry ","unknown","positive"
" ud d ude cfour wins on the spin t co ldc ufcib ","unknown","negative"
" pqp ","unknown","positive"
" chelsea crystal palace mins wilfried zaha sets up christian benteke to put palace ahead checry ","unknown","positive"
" come on chelsea cfc checry ","unknown","positive"
" scenessss t co b w noerxz ","unknown","positive"
" can t bliv we r actually goin to lose dz match checry ","unknown","neutral"
" who cares we have fucking lost","unknown","negative"
" what a save hennessey reacts to get his body behind a costa strike from close range checry ","joy","negative"
" we can t lose to a team that deserves to be in the championship ","unknown","negative"
" ffs so many chances checry ","unknown","positive"
" april fools t co jnpcyxkmk ","unknown","positive"
" underway at stamfordbridge chepal ","unknown","positive"
" eme def de chelsea en mois checry ","unknown","positive"
" u e a u e u e u e u e u e u e u e u e u e u e u e u e u e u e checry ","unknown","positive"
" thus isn t funny ","unknown","positive"
" no one from tweet anything about lions coys checry ","unknown","positive"
" fiiim de papo com gols de e ","unknown","positive"
" full time chelsea crystal palace chepal t co zbxbjehxdc ","unknown","positive"
" full time chelsea lose at home for the first time in matches huge win for cpfc and sam allardyce u ","unknown","negative"
" time wasting cunts fuck crystal palace ","unknown","positive"
" if cahill was a bit faster ","unknown","positive"
" full time pl chelsea vs crystal palace cesc f u e bregas wilfried zaha christian benteke checry ","unknown","positive"
" well chelsea may not win this but great game to watch amp a one of their best performances totaldominationexceptwhereitcountssofar chelseafc ","joy","neutral"
" ud e udd t co p pmtse u ","unknown","positive"
" soccer livescore eng epl chelseafc vs crystalpalace goal for chelsea fc ","unknown","positive"
" benteke n a aucun respect envers couois ud d ude e ud d ude e checry t co rvrmwqedqp ","joy","positive"
