"text","emotion","polarity"
" what have we become ud d ude arsenal it s a sad day when we get beat by west brom no one fears arsenal anymore wengerout ","sadness","negative"
" then make your voice heard amp demand change t co zi pacg l ","unknown","positive"
" t co nxmlb vw v ","unknown","positive"
" tumben banget update soal bola ud d ude c ud d ude c t co kb e aw y ","unknown","positive"
" all because you want united to remain in the th position smh t co ntv mmsmv ","unknown","positive"
" u u a u u u u a u u u u u u u u u a u u u u u u u c u u u b u ","unknown","positive"
" do the honorable thing arsene and ","unknown","positive"
" this one wants to occupy arsenal ud d ude d ud d ude d ud d ude e t co xvndww coe ","joy","positive"
" most damning aspect of this is arsenal can t even remotely feel hard done by technically","unknown","negative"
" this is getting plane ridiculous t co uiywngtuo ","unknown","negative"
" we really are embarrassing","unknown","negative"
" hahahahhahahah arsenal hahahahhahaha ","unknown","positive"
" arsenal ","unknown","positive"
" two craig dawson headers seal an impressive home win for tony pulis s men wbaars t co nojdcgzua ","unknown","positive"
" have arsenal stopped saying it s up to arsene to decide when he goes hope so it s not usually up to the employee to decide these things ","unknown","positive"
" plisss bilang lah wenger saya tdk melatih arsenal lagi di musim depan ","unknown","positive"
" that s it arsenal fall to ","unknown","negative"
" dawson jebol lagi gawang arsenal di babak ii t co op hzvz h t co n qa h z g ","unknown","positive"
" i can t help but feel it s ironic that many of the very people seduced into supporting arsenal by wenger s brilliant footbal u ","unknown","neutral"
" wanna hear a joke n narsenal n n wbaars ","unknown","positive"
" hahaha the moment when arsenal are getting f k offff t co pnigooro e ","unknown","positive"
" aku tanak menanjing fan arsenal tapi hmmm masuk gua dah ke ","unknown","positive"
" premierxespn llegando a la casa y me encuentro con este partidazo arsenal wba ","anger","positive"
" fudbal tu u ena atmosfera i tu u ena partija arsenala u premijernom me u du kola premijer lige vba savladao arsenal u u t co dakb bb n ","unknown","positive"
" arsenal fan tv is going to be lit tonight ud d ude ud c udf ","unknown","positive"
" west brom up over arsenal let s go ","unknown","positive"
" kasihan jadi fans arsenal ","unknown","positive"
" we need alisher t co ykwukmhtgs ","unknown","negative"
" esse t u e cnico do arsenal credo n n premierleaguesonaespn ","unknown","positive"
" he will walk at the end of the season n njohn hartson feels the love affair between wenger and is over u ","joy","positive"
" west brom arsenal ty the plane distracted the players t co wuxfytgfuh ","unknown","positive"
" arsenal losing is great for liverpool we must capitalise tomorrow up the reds ","joy","neutral"
" mate t co d a mryoo ","unknown","positive"
" lmaoooooooo sorry dear t co lcjuxdrcu ","sadness","neutral"
" international break couldn t have come at a better time for the arsenal madeoffootball ","unknown","neutral"
" u d folashadebypraiz n u e wengerout n u f madeoffootball n u arsenal n u hazard n n wat trndnl t co zx a ks ","unknown","negative"
" dawg i dont want arsene wenger to leave for many many reasons but above all else arsenal fan tv needs to stay just the way it is ","unknown","neutral"
" goal west brom arsenal mins another corner","unknown","positive"
" arsenal fans having a twitter argument via planes amazing ","surprise","neutral"
" is the arsenal shirt too heavy for you stop hiding behind arsene wenger and be more than mediocre n n thierry hen u ","unknown","negative"
" if you re a fan of arsenal you re a fan of mediocrity","unknown","negative"
" arsenal had possession but managed just shots on target t co nf bqt je ","unknown","positive"
" recap","unknown","positive"
" fucking arsenal man","unknown","positive"
" goal west brom arsenal mins another corner","unknown","positive"
" it s happened the protest plane flew over the hawthorns before kick off arsenal wbavafc t co ju rdli u ","joy","negative"
" arsenal u s last three premier league away games n nwest brom arsenal nliverpool arsenal nchelsea arsenal n ns u ","unknown","negative"
" mins west brom arsenal t co z nyx ojo ","unknown","positive"
" if arsene wenger was to leave today there would be more problems than there is cirrently","unknown","negative"
" arsenal have now lost of their last games in all competitions n nlwllwl n nthe two wins were against non league op u ","surprise","negative"
" premierleague nd u e faite d u e dawson x ","unknown","positive"
" arsenal fans are mentally stronger than arsenal players ","unknown","positive"
" goal it doesn t look like they will now dawson free again and buries another bullet header when will afc learn to wbafc wbaars ","joy","positive"
" just say lemmi check the scores i see they have arsenal what a shock ","unknown","neutral"
" arsene wenger at arsenal n n the glory era n the banter era n the banner era ","joy","positive"
" as it stands today arsenal is making it to champions league next season it s becoming obvious after every game afc ","unknown","negative"
" silver lining arsenal fan tv ","unknown","positive"
" west brom arsenal ty the west brom players were too tall they shouldn t be allowed to play t co ytqbczepcg ","unknown","positive"
" west bromwich albion arsenal t co lwjrsrn sz trump usa t co hpvgevs zw ","unknown","positive"
" yooo arsenal fan tv is goin to be lit later can t wait ud c udf f ud d ude ud d ude ud d ude ud d ude ","unknown","positive"
" se o arsenal manter o wenger essa temporada a torcida deveria invadir o emirates e quebrar tudo ","unknown","positive"
" arsenal s recent form nllwlwllwl n of those wins have been against non league opposition nscored nconceded ","surprise","negative"
" now we wait arsenal t co djmev cu ","unknown","positive"
" arsenal haven t been the same since cazorla been out injured santi has been badly missed sanchez amp ozil play better with cazorla ","unknown","neutral"
" wenger predicted exactly how we d lose amp could do nothing to stop it n t co iuotepkzgt n afc ","unknown","negative"
" arsenal are shit ","unknown","positive"
" watching arsenal defend set pieces against west brom t co bmi g ufb ","unknown","positive"
" wenger has to go and there s only one man who can take his place n wbaars t co scvro zfno ","unknown","positive"
" arsenal have a mixed record at the hawthorns with only one win in their past four league visits t co guefqir uw ","unknown","positive"
" lol e go funny if una sef lose tomorrow t co nrwauh ul ","unknown","neutral"
" wenger also can no longer manage star players e g no way forward except wengerout wbaars ","unknown","neutral"
" even tho i want him out i can never forget what this man has actually done for arsenal football club t co y gfa e u ","unknown","neutral"
" offside u ","unknown","positive"
" s meltdowns are the cherry on top this afternoon for supporters of arsenal s rivals ","surprise","positive"
" robbie from aftv right now t co vlusmye sa ","unknown","positive"
" arsenal have conceded more goals from corners today vs wba than they did in their previous pl games this season u ","unknown","positive"
" now we play shite on a mediocre club stadium arsenal ","unknown","negative"
" arsenal have lost out of premier league games for the first time since april under stewart houston problem ","unknown","negative"
" arsenal fans he s won more than you","unknown","positive"
" rt se ti vergogneresti di tifare ssc napoli o arsenal fc ","unknown","positive"
" tony pulis has lost just one of his last seven premier league home games against arsenal n n wins n draws n defeat u ","unknown","negative"
" looks like another defeat is coming for wenger and his troops west brom arsenal ","joy","neutral"
" stop it ","unknown","positive"
" i ve known boro for twenty years he has never spoken to a journalist on the record in all u ","unknown","positive"
" i don t think he was talking about arsenal","unknown","positive"
" arsenal u a t co bz um fdud ","unknown","positive"
" real spit t co erzvtee kd ","unknown","positive"
" west brom fans ole ing passes and singing for arsenal wenger to stay this club is finally on its arse ","unknown","positive"
" afc arsenal t co uwejwhzobz ","unknown","positive"
" rt if you re laughing at arsenal t co mchaibbeff ","unknown","negative"
" rip in peace arsenal ","unknown","positive"
" arsenal fan tv bout to be flaming litttttt ","unknown","positive"
" announce allegri wengerout ","unknown","positive"
" correction arsenal","unknown","positive"
" hahahahahahahahahahah ","unknown","positive"
" sub wenger ","unknown","positive"
" arsenal s th defeat in premier league games and arsene wenger still has a job at arsenal he has everyone on string u ","unknown","negative"
" supporting arsenal is like being with a girl you ve committed your life too and her cheating on you every saturday afterno u ","joy","positive"
" where are kroenke amp gazidis nthe silent arsenal assassins filling their greedy boots at fans expense nthey can t hide any u ","anger","negative"
" any red on red action in the away end yet wbaars ","unknown","positive"
" bubar jela arsenal football club ni main bola pun macam bangang buat arsenal kabadi club jela ","unknown","positive"
" two craig dawson headers seal an impressive home win for tony pulis s men wbaars t co nojdcgzua ","unknown","positive"
" oh arsenal wengerout ","unknown","positive"
" dawson scores a second","unknown","positive"
" for paper","unknown","positive"
" robbie from arsenal tv t co yc spigx v ","unknown","positive"
" arsenal u s last three premier league away games n nwest brom arsenal nliverpool arsenal nchelsea arsenal n ns u ","unknown","negative"
" wbaars battus u e westbrom ","unknown","positive"
" u d u u u u u u u f u a ud d ude t co amnsmrvplp ","unknown","positive"
" we ve got a big one here boys","unknown","positive"
" as things stand","unknown","positive"
" as things stand","unknown","positive"
" fuck off arsenal ","unknown","positive"
" arsenal lol ","unknown","positive"
" only two things are certain in this life n n death n arsenal will fuck up your accumulator ","unknown","neutral"
" this arsenal team is shite why do i bother watching them ","anger","negative"
" arsenal xhaka joke of a free kick why did sanchez not take it ","joy","neutral"
" seriously though","unknown","negative"
" admin ni arsenal fans ni t co kxns zcoy ","unknown","positive"
" i don t want to see ramsey in an arsenal shirt ever again ","unknown","positive"
" look at what hazard did against arsenal can only be described as rape ","unknown","negative"
" a la camita a la camita","unknown","positive"
" william gallas contemplates a day to forget birmingham city arsenal rd feb t co afdxsfrd z ","unknown","negative"
" rt if you re laughing at arsenal t co mchaibbeff ","unknown","negative"
" lol ","unknown","positive"
" i felt all pictures of arsenal off my phone amp laptop i don t need that negativity in my life ","unknown","neutral"
" oh arsenal what is this now ","unknown","positive"
" this was a beautiful sight i don t care what anyone says the result today only justifies it even more wengerout u ","joy","positive"
" robbie from arsenal fan tv when arsenal lose t co fxgyolcyrf ","unknown","negative"
" declining plummet t co z obbfjqtc ","unknown","negative"
" i would like to have a dollar for every time i have said effin wenger or effin arsenal today arsvswba ars ","joy","positive"
" u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u t co fwx ku nhi ","unknown","positive"
" i hope you ll win this one now that arsenal bottled t co mojaaphuap ","unknown","positive"
" what a stupid tweet wenger is finished john stop defending a man who is finished t co xhqrbwrxse ","surprise","negative"
" you spelled arsenal wrong t co mikfs dqns ","unknown","negative"
" i love arsenal but i don t love this ","joy","positive"
" wenger leading arsenal in the right direction u a ","unknown","positive"
" jamie redknapp on arsenal that s the side of performance that gets the manager the sack ","unknown","positive"
" rt if you re laughing at arsenal ud d ude ","unknown","negative"
" arsenal are wank uta ","unknown","positive"
" get lost ud d ude ","sadness","negative"
" arsenal kalah ke n nsaja tanya ","unknown","positive"
" we are absolutely dreadful defensively ud d ude ud d ude d arsenal ","fear","negative"
" is enough really enough for arsenal fans is it time for wenger to go let me hear your thoughts n n wengerout t co a u ","unknown","positive"
" to think there were arsenal fans mocking city about stones when they paid m for mustafi ","unknown","neutral"
" west brom arsenal ty the plane distracted the players t co wuxfytgfuh ","unknown","positive"
" watching arsenal fan tv like ud d ude ud d ude ud d ude wbaars t co gqzhqofwhp ","joy","positive"
" cech injured himself while passing the ball to mustafi it looks like a calf or hamstring problem get well soon pe u ","joy","negative"
" if you are near an arsenal fan","joy","positive"
" regardez on doit juste gagner demain on d u e passe arsenal mais je vois d ici les fellaini titulaire on va faire fdp qu ils sont ","unknown","negative"
" arsenal can t defend for shit ","unknown","positive"
" mins west brom arsenal t co z nyx ojo ","unknown","positive"
" evoluci u f n del arsenal del al de la felicidad a la amargura t co kpyyvfmi u ","unknown","positive"
" what a day to be an arsenal fan t co ugyfnkmui ","unknown","positive"
" ud d ude wbavafc afc arsenal mufc t co banspqmbki ","unknown","positive"
" west brom arsenal ty the plane distracted the players t co iiluo nchs ","unknown","positive"
" wenger we can t afford to lose another game if we want top the players must respond nplayers lose next game ud d ude n arsenal u ","surprise","neutral"
" i said it yrs ago the longer wenger stays the worse it will get t co yqqkxxsrfq ","sadness","negative"
" clear example of a spurs fan opening a arsenal account trolling t co e kdcxaop ","unknown","neutral"
" arsenal fan tv in ud d ude ud d udd ud d udd ud d udd ","unknown","positive"
" bbcsport a second goal for craig dawson and from another corner n nwest brom arsen u t co ja vn zous t co dn gm vly ","unknown","positive"
" arsenal fan tv ud d ude d ud d ude d ud d ude d ","unknown","positive"
" t co iski ykmc ","unknown","positive"
" can the players show some balls ","unknown","negative"
" arsenal ud d ude ud d ude ud d ude what s happening ","unknown","positive"
" see our mates beating arsenal t co mluk ob ","unknown","positive"
" here comes our final sub n n ud d udd b n u a ufe f n n wbavafc ud d udd ud d udd t co azoqfelx z ","unknown","positive"
" tbh i can t hate on robbies success he works very very hard also he s brought in his mates and his daughter t u ","anger","negative"
" t co jm ps adj ","unknown","positive"
" arsenal fans have been screaming th from th place loool ","joy","positive"
" arsenal fans are we going to qualify for champions league next season n narsene t co yz o feujz ","unknown","positive"
" arsenal out of the top and out of the champions league for years to come never belonged there anyway nwelcome","surprise","positive"
" ft albion dawson ","unknown","positive"
" arsenal kalah dengan west brom chelsea amp liverpool pun pernah kalah dengan west brom jangan buat lupa ","unknown","positive"
" embarrasing for wenger west brom are not a good team their tactics are incredibly basic","joy","positive"
" looking at the scoreline","unknown","positive"
" only one winner here in this situation and that s the plane company who have fleeced both sides for u a k between th u t co yr oab xg ","unknown","positive"
" waiting for arsenal fan tv like t co hfkaa emum ","joy","positive"
" arsenal acaba de convertirse en tt ocupando la u aa posici u f n en m u e xico m u e s en t co in uqsl trndnl t co dazefojgr ","unknown","positive"
" wbaars ud d ude ud d ude ud d ude t co dm ygxerek ","unknown","positive"
" ud d udc ud c udfff ud d udc ud c udfff ud d udc ud c udfff ud d udc ud c udfff ud d udc ud c udfff ud d udc ud c udfff t co avntj rxcf ","unknown","positive"
" arsenal ud d ude ud d ude ud d ude ud d ude ud d ude ud d ude ","unknown","positive"
" that moment when you re ready to watch arsenal fan tv ud d udc ud c udf f t co zvegrjaijc ","unknown","neutral"
" west brom inflict fourth loss in five league games on arsenal t co zdbk azcxm t co dxh ncnatt ","unknown","negative"
" to be fair","unknown","positive"
" arsenal fan tv later ud d ude ud d ude ud d ude ud d ude ","unknown","positive"
" wenger out now","unknown","positive"
" ud d ude ud d ude ud d ude ud d ude t co xamudw dkj ","unknown","positive"
" bayern arsenal nliverpool arsenal narsenal bayern nwba araenal narsenal fans ud d udc ud d udc ud d udc ud d udc ud d udc t co lhmzyjcfd ","unknown","positive"
" it s hard being an arsenal fan ","unknown","negative"
" u u c u a u u f arsenal u u e u u d u f u b u d u u u f u u d u u b u d u u f u u u u b u u e u wengerout t co hzrfidwslm ","unknown","positive"
" also gotta laugh at arsenal being arsenal wbaars ","unknown","negative"
" terlatih patah hati t co e n ja w q ","unknown","positive"
" one thing i love abt arsenal is that they forget their pain once the manage to win one match","joy","neutral"
" i don t rate you ","unknown","positive"
" arsenal fan tv getting ready right now ud c udf f ud c udf f ","unknown","positive"
" wenger fuckin resign just do it stop fighting against the inevitable please for the sake of arsenal just resign wenger u ","joy","neutral"
" arsenal had as many shots on target as there were planes flying around the hawthorns t co r uyjylzuc ","unknown","positive"
" arsenal fans are actually the funniest ud d ude ","unknown","positive"
" ten u e s todo el arsenal ","unknown","positive"
" bye arsenal ","unknown","positive"
" arsenal facing th defeat in premier league games nonly games won in the last month both against th tier teams ","unknown","negative"
" arsenal still have to play man city twice","unknown","positive"
" recap","unknown","positive"
" arsenal will finish th this season ","unknown","positive"
" absolutely no reason why players of and quality should be playing for a wenger coached arsenal ","unknown","positive"
" this bar has been my bio for the longest time now t co gqwsmvm c ","joy","negative"
" enough it s time to go out wenger n wengerout the team need new director n players ","unknown","negative"
" in other words","unknown","positive"
" retweet if you want arsenal to finish out of the top theweekndfollotrain ","surprise","positive"
" it s been a great season on arsenal fan tv t co itbwp a rb ","joy","positive"
" qu u e raro el arsenal ","unknown","positive"
" arsenal s last away pl results n n l vs everton n l vs city n d vs b mouth n w vs scfc n l vs chelsea n u ","unknown","negative"
" ft west brom arsenal watch sky sports hd now for reaction and analysis full recap t co siup jnkbg t co r uptjuq ","unknown","negative"
" cette fois c est clairement le feu u e arsenal ","joy","positive"
" wba u arsenal t co icjc j n ","unknown","positive"
" arsenal u s last three premier league away games n nwest brom arsenal nliverpool arsenal nchelsea arsenal n ns u ","unknown","negative"
" u bfc u f mo es que no han botado a arsenio todav u eda ","fear","positive"
" goal west brom arsenal sanchez","unknown","positive"
" arsenal have lost out of premier league games for the first time since april under stewart houston problem ","unknown","negative"
" west brom haven t even made passes yet we re near arsenal","joy","positive"
" dear please don t sack wenger","joy","positive"
" oh how the mighty arsenal have fallen top gone ","surprise","positive"
" we want you to stay","unknown","positive"
" a week ago barcelona needed goals in mins to beat psg they did it n ntoday arsenal had mins to score against west brom u ","anger","positive"
" thatmomentwhen you re ready to watch arsenal fan tv ud d udc ud c udf f t co gact pup ","unknown","negative"
" y do you still support them nawe ud d ude ud d ude ud d ude ud d ude ud d ude ud d ude t co rfh tlhls ","unknown","positive"
" ft albion dawson ","unknown","positive"
" forget arsenal","unknown","negative"
" they are tryna find the earths core ud d ude d t co akdec wn ","unknown","positive"
" arsenal ud d ude ud d ude ud d ude ud d ude ","unknown","positive"
" so","unknown","positive"
" ol u e ing here really rubbing it in ud d ude wbaars ","unknown","positive"
" no entiendo como aguantaron tanto a wenger los del arsenal ","unknown","positive"
" west brom have done a great job on arsenal wba ud d udc a ud c udffe ","joy","neutral"
" quote in the everybody knows the war is over everybody knows the good guy lost sad but true","anger","negative"
" arsenal fans fly a banner over the hawthorns aimed at arsene wenger no contract wenger out t co sa nn zgon ","unknown","positive"
" arsenal players going full on leicester here won t win till manager leaves well jokes on you he s gonna be here even u ","unknown","positive"
" arsenal fans should be thankful we won t take advantage ","unknown","positive"
" this supporting arsenal thing is hard u ","unknown","negative"
" ud d ude d t co kcomldh dt ","unknown","positive"
" when johnny evans strolls into midfield like the kaiser you know arsenal have problems ud d udc ","joy","positive"
" ft west brom arsenal n nthat s four defeats in five league games for the t co d ahuwfqk by bbcsport u t co uxkpq bnpw ","unknown","positive"
" what was ramsey and ox doing in the game t co advwpywy v ","unknown","negative"
" arsenal u s last three premier league away games n nwest brom arsenal nliverpool arsenal nchelsea arsenal n ns u ","unknown","negative"
" baby","unknown","positive"
" the whole wba team is worth u a mil more than xhaka cost us bizarre state of football wbaars ","unknown","neutral"
" all ther fans are looking in the sky n not watching game","unknown","negative"
" arsenal fans","unknown","positive"
" arsenal are a mess ud d ude ","unknown","negative"
" arsenal u c ud c udffc ","unknown","positive"
" t co iski ykmc ","unknown","positive"
" more wenger out banners on the way nft wba arsenal n n mcfc pl wbaars wba afc arsenal wengerout cfc u t co wfvyzymjxv ","unknown","negative"
" why are you like this don t you respect your fans as human beings they are good people ","joy","positive"
" all the headlines will be about arsenal but what a job tony pulls has done superb track record in the epl t co wec dieszp ","unknown","positive"
" your of them so you understand it perfectly t co vyccreiit ","unknown","positive"
" omg you ve got to be kidding me ahahahaha t co kvem jnrjd ","unknown","positive"
" look what all you wengerout lot have done to arsenal it s all your fault ","unknown","negative"
" how people still want this has totally and utterly lost there minds arsenal ","unknown","negative"
" arsenal fans taking wenger out signs to the hawthorns in anticipation of getting beat spot the real problem here ","joy","neutral"
" a picture paints a thousand words n t co bpqtxzb n t co hlhjuvxz s ","unknown","positive"
" this is what charlie nicholas thinks of arsenal s performance ud d ude t co zdpiaf kj ","unknown","positive"
" wait planes flew over the arsenal game today ","unknown","negative"
" t co nlbceiwbok ","unknown","positive"
" t co dwruelmrpu ","unknown","positive"
" wenger will walk after this wbaars arsenal wenger ","joy","positive"
" arsenal have won two games in the last month both came against sutton and lincoln in the fa cup ","unknown","negative"
" arsenal have won just two games in the past month against sutton and lincoln ","unknown","positive"
" arsenal making the substitution gesture with his hands not clear whether it s for him or for one of his players ","unknown","positive"
" nacho monreal the only player who bothered to get play restarted after that third goal arsenal completely deflated ht u ","sadness","negative"
" arsenal are sinking ud d ude ud d ude ud d ude ud d ude ud d ude ud d ude ","unknown","negative"
" thats fucked it for arsenal ","unknown","positive"
" what a day to be an arsenal fan t co ugyfnkmui ","unknown","positive"
" west bromwich albion arsenal","unknown","positive"
" besides sanchez not one of them arsenal players are fit to wear the shirt ","anger","positive"
" ft lose again six defeats in nine games next man city h afc t co wtqsxqho z ","unknown","negative"
" well this is awkward wbaars t co hd ta enom ","unknown","negative"
" bruv i hope hope arsenal get champions league i don t want deactivating his account over europa leave football ud d ude ud d ude ud d ude ","sadness","neutral"
" what a pile of ud d udca arsenal have been ","unknown","positive"
" lol arsenal is cancelled ","unknown","positive"
" u u f u u u u af u u u u u f u u u cc u f u u f u u u u u u u u a u u u cc u u u u u u cc u u a u a u u u a u u cc u u u u cc u a u f u cc u a u u a u u a u cc u u u u a u u u u u u u a ud d ude n wengerin t co zbb ktjdfe ","unknown","positive"
" is the arsenal shirt too heavy for you stop hiding behind arsene wenger and be more than mediocre n n thierry hen u ","unknown","negative"
" waiting for arsenal fan tv like t co hfkaa emum ","joy","positive"
" senzeni naa ud d ude ud d ude ud d ude arsenal arsenal to derseve this ud d ude ud d ude ud d ude ","unknown","positive"
" waiting for arsenal fan tv like t co hfkaa emum ","joy","positive"
" arsenal fans on twitter right now t co f elljlk ","unknown","positive"
" hay etapas que inexorablemente se cumplen","unknown","positive"
" ft west brom arsenal now we wait","unknown","positive"
" arsenal vs a non league side and arsenal vs a league side ud d ude d ud d ude d ud d ude d t co tbflszelyw ","surprise","positive"
" only good thing about arsenal s collapse is arsenal fan tv it s going to be ud d udd ud d udd ud d udd today ","joy","neutral"
" wait i hear say arsenal dey lead ","unknown","positive"
" arsenal are about to go p w d l and those wins were hull in the league and lincoln amp sutton in the cup that u s a pro u ","unknown","negative"
" west brom arsenal ty the west brom players were too tall they shouldn t be allowed to play t co ytqbczepcg ","unknown","positive"
" arsenal isn t going to make top narsenal isn t going to make top narsenal isn t going to make top narsenal isn t going u ","surprise","positive"
" arsenal are mounting a title challenge in an incredibly lowkey manner they re unbeaten in the league since the first u ","unknown","positive"
" waiting for arsenal fan tv like t co hfkaa emum ","joy","positive"
" el arsenal ya no tiene amor propio ","joy","positive"
" we gave up when that third went in against west brom with minutes to go you shame the invincibles","sadness","negative"
" ikan k nt l ","unknown","positive"
" why is oxlade chamberlain marking their main threat on set pieces shocking from arsenal ","unknown","negative"
" premierleaguesonaespn ","unknown","positive"
" i don t even know anymore fully given up with arsenal this season ","unknown","positive"
" arsenal have ruined mine ","unknown","positive"
" the westbrom team had players attacking the same ball the arsenal players were standing around the manager isn t the issue","unknown","positive"
" dah la tu sokong arsenal hahaha ","unknown","positive"
" well played la arsenal ","unknown","positive"
" rip t co ulkx fo t ","unknown","positive"
" tbh not even that pissed about today s result have given up on arsenal cannot let them ruin my weekends anymore ","anger","neutral"
" dats what leceiter players did until their manager left t co jgmrl c n ","unknown","negative"
" sanchez is way too good for this arsenal team","joy","negative"
" of fans in lagos","unknown","positive"
" arsenal proving that last weeks win was just a blip wbavafc ","unknown","neutral"
" for paper","unknown","positive"
" arsenal officially out of top four this season t co rzurcefiiy ","surprise","positive"
